dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
06/04/2020,6,4,2020,28,2,Albania,AL,ALB,2862427,Europe
05/04/2020,5,4,2020,29,2,Albania,AL,ALB,2862427,Europe
04/04/2020,4,4,2020,27,1,Albania,AL,ALB,2862427,Europe
03/04/2020,3,4,2020,18,1,Albania,AL,ALB,2862427,Europe
02/04/2020,2,4,2020,16,0,Albania,AL,ALB,2862427,Europe
01/04/2020,1,4,2020,20,3,Albania,AL,ALB,2862427,Europe
31/03/2020,31,3,2020,11,2,Albania,AL,ALB,2862427,Europe
30/03/2020,30,3,2020,15,0,Albania,AL,ALB,2862427,Europe
29/03/2020,29,3,2020,11,1,Albania,AL,ALB,2862427,Europe
28/03/2020,28,3,2020,12,3,Albania,AL,ALB,2862427,Europe
27/03/2020,27,3,2020,28,1,Albania,AL,ALB,2862427,Europe
26/03/2020,26,3,2020,23,0,Albania,AL,ALB,2862427,Europe
25/03/2020,25,3,2020,23,1,Albania,AL,ALB,2862427,Europe
24/03/2020,24,3,2020,11,2,Albania,AL,ALB,2862427,Europe
23/03/2020,23,3,2020,13,0,Albania,AL,ALB,2862427,Europe
22/03/2020,22,3,2020,6,0,Albania,AL,ALB,2862427,Europe
21/03/2020,21,3,2020,0,0,Albania,AL,ALB,2862427,Europe
20/03/2020,20,3,2020,11,0,Albania,AL,ALB,2862427,Europe
19/03/2020,19,3,2020,4,1,Albania,AL,ALB,2862427,Europe
18/03/2020,18,3,2020,4,0,Albania,AL,ALB,2862427,Europe
17/03/2020,17,3,2020,9,0,Albania,AL,ALB,2862427,Europe
16/03/2020,16,3,2020,4,0,Albania,AL,ALB,2862427,Europe
15/03/2020,15,3,2020,5,0,Albania,AL,ALB,2862427,Europe
14/03/2020,14,3,2020,10,0,Albania,AL,ALB,2862427,Europe
13/03/2020,13,3,2020,12,0,Albania,AL,ALB,2862427,Europe
12/03/2020,12,3,2020,1,1,Albania,AL,ALB,2862427,Europe
11/03/2020,11,3,2020,4,0,Albania,AL,ALB,2862427,Europe
10/03/2020,10,3,2020,4,0,Albania,AL,ALB,2862427,Europe
09/03/2020,9,3,2020,2,0,Albania,AL,ALB,2862427,Europe
05/07/2020,5,7,2020,430,9,Algeria,DZ,DZA,43053054,Africa
04/07/2020,4,7,2020,413,9,Algeria,DZ,DZA,43053054,Africa
03/07/2020,3,7,2020,385,8,Algeria,DZ,DZA,43053054,Africa
02/07/2020,2,7,2020,365,8,Algeria,DZ,DZA,43053054,Africa
01/07/2020,1,7,2020,336,7,Algeria,DZ,DZA,43053054,Africa
30/06/2020,30,6,2020,298,8,Algeria,DZ,DZA,43053054,Africa
29/06/2020,29,6,2020,305,5,Algeria,DZ,DZA,43053054,Africa
28/06/2020,28,6,2020,283,7,Algeria,DZ,DZA,43053054,Africa
27/06/2020,27,6,2020,240,7,Algeria,DZ,DZA,43053054,Africa
26/06/2020,26,6,2020,197,9,Algeria,DZ,DZA,43053054,Africa
25/06/2020,25,6,2020,172,8,Algeria,DZ,DZA,43053054,Africa
24/06/2020,24,6,2020,156,9,Algeria,DZ,DZA,43053054,Africa
23/06/2020,23,6,2020,149,7,Algeria,DZ,DZA,43053054,Africa
22/06/2020,22,6,2020,140,8,Algeria,DZ,DZA,43053054,Africa
21/06/2020,21,6,2020,127,12,Algeria,DZ,DZA,43053054,Africa
20/06/2020,20,6,2020,119,14,Algeria,DZ,DZA,43053054,Africa
19/06/2020,19,6,2020,117,12,Algeria,DZ,DZA,43053054,Africa
18/06/2020,18,6,2020,121,11,Algeria,DZ,DZA,43053054,Africa
17/06/2020,17,6,2020,116,11,Algeria,DZ,DZA,43053054,Africa
16/06/2020,16,6,2020,112,10,Algeria,DZ,DZA,43053054,Africa
15/06/2020,15,6,2020,109,7,Algeria,DZ,DZA,43053054,Africa
14/06/2020,14,6,2020,112,9,Algeria,DZ,DZA,43053054,Africa
13/06/2020,13,6,2020,109,10,Algeria,DZ,DZA,43053054,Africa
12/06/2020,12,6,2020,105,9,Algeria,DZ,DZA,43053054,Africa
11/06/2020,11,6,2020,102,8,Algeria,DZ,DZA,43053054,Africa
10/06/2020,10,6,2020,117,9,Algeria,DZ,DZA,43053054,Africa
09/06/2020,9,6,2020,111,8,Algeria,DZ,DZA,43053054,Africa
08/06/2020,8,6,2020,104,9,Algeria,DZ,DZA,43053054,Africa
07/06/2020,7,6,2020,115,8,Algeria,DZ,DZA,43053054,Africa
06/06/2020,6,6,2020,104,9,Algeria,DZ,DZA,43053054,Africa
05/06/2020,5,6,2020,205,14,Algeria,DZ,DZA,43053054,Africa
04/06/2020,4,6,2020,0,0,Algeria,DZ,DZA,43053054,Africa
03/06/2020,3,6,2020,113,6,Algeria,DZ,DZA,43053054,Africa
02/06/2020,2,6,2020,119,8,Algeria,DZ,DZA,43053054,Africa
01/06/2020,1,6,2020,127,7,Algeria,DZ,DZA,43053054,Africa
31/05/2020,31,5,2020,133,8,Algeria,DZ,DZA,43053054,Africa
30/05/2020,30,5,2020,137,8,Algeria,DZ,DZA,43053054,Africa
29/05/2020,29,5,2020,140,7,Algeria,DZ,DZA,43053054,Africa
28/05/2020,28,5,2020,160,6,Algeria,DZ,DZA,43053054,Africa
27/05/2020,27,5,2020,194,8,Algeria,DZ,DZA,43053054,Africa
26/05/2020,26,5,2020,197,9,Algeria,DZ,DZA,43053054,Africa
25/05/2020,25,5,2020,193,8,Algeria,DZ,DZA,43053054,Africa
24/05/2020,24,5,2020,195,10,Algeria,DZ,DZA,43053054,Africa
23/05/2020,23,5,2020,190,7,Algeria,DZ,DZA,43053054,Africa
22/05/2020,22,5,2020,186,7,Algeria,DZ,DZA,43053054,Africa
21/05/2020,21,5,2020,165,7,Algeria,DZ,DZA,43053054,Africa
20/05/2020,20,5,2020,176,6,Algeria,DZ,DZA,43053054,Africa
19/05/2020,19,5,2020,182,7,Algeria,DZ,DZA,43053054,Africa
18/05/2020,18,5,2020,198,6,Algeria,DZ,DZA,43053054,Africa
17/05/2020,17,5,2020,192,6,Algeria,DZ,DZA,43053054,Africa
16/05/2020,16,5,2020,187,7,Algeria,DZ,DZA,43053054,Africa
15/05/2020,15,5,2020,189,7,Algeria,DZ,DZA,43053054,Africa
14/05/2020,14,5,2020,186,7,Algeria,DZ,DZA,43053054,Africa
13/05/2020,13,5,2020,176,8,Algeria,DZ,DZA,43053054,Africa
12/05/2020,12,5,2020,168,5,Algeria,DZ,DZA,43053054,Africa
11/05/2020,11,5,2020,165,8,Algeria,DZ,DZA,43053054,Africa
